,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
468,01/29/2022,Texas Southern,Prairie View A&M,-2.5,Texas Southern Wins By 2.7,51.42%,-110,141.5,138.9,100.0,Under 141.5,54.06%,Texas Southern -2.5,-1.%,-0.%,3.9%,75-74,0.0,0.0
469,01/29/2022,Tulsa,South Florida,-5.5,Tulsa Wins By 4.0,51.42%,-110,126.0,137.1,-120.0,Over 126.0,56.35%,South Florida +5.5,-1.%,-0.%,-0.%,76-45,0.0,0.0
470,01/29/2022,UTEP,FIU,-6.5,UTEP Wins By 6.2,51.42%,-110,131.0,136.0,-120.0,Over 131.0,56.35%,FIU +6.5,-1.%,-0.%,-0.%,79-68,0.0,1.0
471,01/29/2022,Montana,Eastern Washington,-6.0,Montana Wins By 4.9,51.42%,-120,144.0,137.6,-115.0,Under 144.0,56.35%,Eastern Washington +6.0,-3.%,-1.%,0.4%,61-59,1.0,1.0
472,01/29/2022,Kennesaw State,North Alabama,-7.5,Kennesaw State Wins By 7.3,51.42%,-110,136.5,141.6,-115.0,Over 136.5,56.35%,North Alabama +7.5,-1.%,-0.%,0.4%,58-71,1.0,0.0
473,01/29/2022,Tarleton State,UT Rio Grande Valley,-2.5,Tarleton State Wins By 1.7,51.42%,-110,142.0,144.9,-120.0,Over 142.0,54.06%,UT Rio Grande Valley +2.5,-1.%,-0.%,-0.%,79-64,0.0,1.0
474,01/29/2022,Nicholls State,Houston Baptist,-9.0,Nicholls State Wins By 6.4,51.42%,-115,145.5,150.2,100.0,Over 145.5,54.06%,Houston Baptist +9.0,-2.%,-1.%,3.9%,73-61,0.0,0.0
475,01/29/2022,Howard,North Carolina Central,-1.5,Howard Wins By 1.6,51.42%,-120,145.5,140.2,-120.0,Under 145.5,54.06%,Howard -1.5,-3.%,-1.%,-0.%,75-74,0.0,0.0
476,01/29/2022,Bowling Green,Kent State,-2.0,Bowling Green Wins By 2.1,51.42%,-115,146.0,143.4,-105.0,Under 146.0,56.35%,Bowling Green -2.0,-2.%,-1.%,2.7%,83-91,0.0,0.0
477,01/29/2022,Jacksonville,Central Arkansas,-9.0,Jacksonville Wins By 7.7,51.42%,-110,139.0,140.7,-120.0,Over 139.0,56.35%,Central Arkansas +9.0,-1.%,-0.%,-0.%,79-59,0.0,0.0
478,01/29/2022,Texas A&M Corpus Chris,Northwestern State,-5.5,Texas A&M Corpus Chris Wins By 5.4,51.42%,-110,152.5,149.6,-115.0,Under 152.5,54.06%,Northwestern State +5.5,-1.%,-0.%,0.4%,76-90,1.0,0.0
479,01/29/2022,Tennessee Tech,Austin Peay,-5.0,Tennessee Tech Wins By 6.0,51.42%,-110,143.5,141.5,-115.0,Under 143.5,56.35%,Tennessee Tech -5.0,-1.%,-0.%,0.4%,55-58,0.0,1.0
480,01/29/2022,Jackson State,Grambling State,-4.5,Jackson State Wins By 6.0,51.42%,-120,126.5,133.8,100.0,Over 126.5,56.35%,Jackson State -4.5,-3.%,-1.%,3.9%,64-73,0.0,1.0
481,01/29/2022,Southeast Missouri State,SIU Edwardsville,-1.5,Southeast Missouri State Wins By 2.0,51.42%,-115,156.0,153.4,-105.0,Under 156.0,56.35%,Southeast Missouri State -1.5,-2.%,-1.%,2.7%,85-77,1.0,0.0
482,01/29/2022,Presbyterian,UNC Asheville,-1.5,Presbyterian Wins By 1.3,51.42%,-110,128.5,132.5,-110.0,Over 128.5,56.35%,UNC Asheville +1.5,-1.%,-0.%,1.6%,67-68,1.0,1.0
483,01/29/2022,Robert Morris,Green Bay,-4.5,Robert Morris Wins By 5.4,51.42%,-115,133.5,135.8,-115.0,Over 133.5,56.35%,Robert Morris -4.5,-2.%,-1.%,0.4%,62-60,0.0,0.0
484,01/29/2022,Tennessee State,Eastern Illinois,-8.5,Tennessee State Wins By 5.7,51.42%,-105,126.5,128.6,-110.0,Over 126.5,54.06%,Eastern Illinois +8.5,0.2%,0.1%,1.6%,57-62,1.0,0.0
