,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
81,11/21/2021,Tennessee,North Carolina,-3.0,Tennessee Wins By 3.9,55.25%,-105,,,,,,Tennessee -3.0,4.1%,2.1%,,89-72,1.0,
82,11/21/2021,Virginia Tech,Merrimack,-18.5,Virginia Tech Wins By 15.8,57.32%,-115,,,,,,Merrimack +18.5,4.1%,2.1%,,72-43,0.0,
83,11/21/2021,St. Bonaventure,Marquette,-3.0,St. Bonaventure Wins By 4.2,55.25%,-105,,,,,,St. Bonaventure -3.0,4.1%,2.1%,,70-54,1.0,
84,11/21/2021,Oklahoma,Utah State,-4.5,Oklahoma Wins By 2.1,55.25%,-105,,,,,,Utah State +4.5,4.1%,2.1%,,70-73,1.0,
85,11/21/2021,Florida State,Loyola Marymount,-7.0,Florida State Wins By 4.3,55.25%,-105,,,,,,Loyola Marymount +7.0,4.1%,2.1%,,73-45,0.0,
86,11/21/2021,Mississippi State,Morehead State,-14.0,Mississippi State Wins By 14.0,57.32%,-115,,,,,,Morehead State +14.0,4.1%,2.1%,,66-46,0.0,
87,11/21/2021,West Virginia,Clemson,-2.5,West Virginia Wins By 1.4,55.25%,-110,,,,,,Clemson +2.5,3.0%,1.5%,,66-59,0.0,
88,11/21/2021,Colorado State,Creighton,-3.5,Colorado State Wins By 2.8,55.25%,-115,,,,,,Creighton +3.5,1.9%,0.8%,,95-81,0.0,
89,11/21/2021,Mississippi,Boise State,-2.0,Boise State Wins By 1.7,55.25%,-105,,,,,,Boise State +2.0,4.1%,2.1%,,50-60,1.0,
90,11/21/2021,Wichita State,UNLV,-3.5,Wichita State Wins By 7.2,55.25%,-110,,,,,,Wichita State -3.5,3.0%,1.5%,,74-73,0.0,
91,11/21/2021,UAB,Alabama A&M,-25.5,UAB Wins By 20.7,50.35%,-105,,,,,,Alabama A&M +25.5,-0.%,-0.%,,86-41,0.0,
92,11/21/2021,Rhode Island,Boston College,-3.0,Rhode Island Wins By 2.1,55.25%,-105,,,,,,Boston College +3.0,4.1%,2.1%,,71-65,0.0,
93,11/21/2021,SMU,Missouri,-7.0,SMU Wins By 6.4,55.25%,-110,,,,,,Missouri +7.0,3.0%,1.5%,,75-80,1.0,
94,11/21/2021,North Carolina State,Texas Southern,-14.0,North Carolina State Wins By 11.4,51.42%,-105,,,,,,Texas Southern +14.0,0.2%,0.1%,,65-57,1.0,
95,11/21/2021,Utah,Tulsa,-5.5,Utah Wins By 2.7,55.25%,-110,,,,,,Tulsa +5.5,3.0%,1.5%,,72-58,0.0,
96,11/21/2021,Nebraska,Southern,-16.0,Nebraska Wins By 12.6,51.42%,-110,,,,,,Southern +16.0,-1.%,-0.%,,82-59,0.0,
97,11/21/2021,New Mexico State,Indiana State,-8.5,New Mexico State Wins By 4.5,55.25%,-115,,,,,,Indiana State +8.5,1.9%,0.8%,,80-66,0.0,
98,11/21/2021,Georgia State,High Point,-11.0,Georgia State Wins By 5.2,51.42%,-110,,,,,,High Point +11.0,-1.%,-0.%,,74-66,1.0,
99,11/21/2021,Davidson,East Carolina,-4.5,Davidson Wins By 2.3,55.25%,-115,,,,,,East Carolina +4.5,1.9%,0.8%,,76-67,0.0,
100,11/21/2021,Furman,Navy,-9.5,Furman Wins By 6.1,51.42%,-110,,,,,,Navy +9.5,-1.%,-0.%,,66-77,1.0,
101,11/21/2021,Marshall,Jackson State,-15.0,Marshall Wins By 7.3,55.25%,-105,,,,,,Jackson State +15.0,4.1%,2.1%,,80-66,1.0,
102,11/21/2021,Massachusetts,Ball State,-7.5,Massachusetts Wins By 5.5,55.25%,-110,,,,,,Ball State +7.5,3.0%,1.5%,,86-89,1.0,
103,11/21/2021,Oregon State,Princeton,-5.5,Oregon State Wins By 4.4,55.25%,-115,,,,,,Princeton +5.5,1.9%,0.8%,,80-81,1.0,
104,11/21/2021,Longwood,Western Carolina,-8.5,Longwood Wins By 14.0,57.32%,-110,,,,,,Longwood -8.5,5.2%,2.6%,,53-64,0.0,
105,11/21/2021,Wofford,Georgia Southern,-7.0,Wofford Wins By 4.4,55.25%,-110,,,,,,Georgia Southern +7.0,3.0%,1.5%,,70-52,0.0,
106,11/21/2021,Iowa State,Grambling State,-16.0,Iowa State Wins By 9.3,57.32%,-110,,,,,,Grambling State +16.0,5.2%,2.6%,,82-47,0.0,
107,11/21/2021,Southern Miss,Lamar,-5.0,Southern Miss Wins By 7.9,57.32%,-110,,,,,,Southern Miss -5.0,5.2%,2.6%,,82-75,1.0,
108,11/21/2021,Sam Houston State,Little Rock,-3.5,Sam Houston State Wins By 7.1,57.32%,-110,,,,,,Sam Houston State -3.5,5.2%,2.6%,,77-59,1.0,
109,11/21/2021,UNC Greensboro,FIU,-2.0,UNC Greensboro Wins By 4.1,55.25%,-115,,,,,,UNC Greensboro -2.0,1.9%,0.8%,,71-74,0.0,
110,11/21/2021,Cal Baptist,Northern Colorado,-2.0,Cal Baptist Wins By 4.2,57.32%,-105,,,,,,Cal Baptist -2.0,6.3%,3.1%,,74-70,1.0,
111,11/21/2021,South Dakota,Tennessee State,-7.0,South Dakota Wins By 7.5,57.32%,-105,,,,,,South Dakota -7.0,6.3%,3.1%,,83-66,1.0,
112,11/21/2021,UTSA,Texas A&M Corpus Chris,-8.0,UTSA Wins By 6.4,51.42%,-110,,,,,,Texas A&M Corpus Chris +8.0,-1.%,-0.%,,58-77,1.0,
113,11/21/2021,Howard,William & Mary,-4.0,Howard Wins By 5.7,57.32%,-110,,,,,,Howard -4.0,5.2%,2.6%,,82-76,1.0,
114,11/21/2021,Niagara,Youngstown State,-2.5,Youngstown State Wins By 2.2,51.42%,100,,,,,,Youngstown State +2.5,1.4%,0.7%,,58-53,0.0,
